,r,p-val
LH_DorsAttn_Post_32,0.23627850736654693,0.3612323576147972
LH_DorsAttn_Post_33,0.42886634798935513,0.08584579163342936
LH_DorsAttn_Post_34,0.11548713438912576,0.6589392275993123
LH_DorsAttn_Post_35,-0.027354144981095223,0.9170011366199035
LH_DorsAttn_Post_36,0.506450832767648,0.03803065035955646
LH_DorsAttn_Post_37,0.40658588047198824,0.10532369378614584
LH_DorsAttn_Post_38,0.4919188183036352,0.04488894611510255
LH_DorsAttn_Post_39,0.34302164442456684,0.1776864238912349
LH_DorsAttn_Post_40,0.4762246691539461,0.05330206332407971
LH_DorsAttn_Post_41,0.3342936397726205,0.18970351769977287
LH_DorsAttn_Post_42,0.24095903146757502,0.3515148635309556
LH_DorsAttn_Post_43,0.4331670459603166,0.08240912627175936
LH_DorsAttn_Post_44,-0.062551366367245,0.8114979633696586
LH_DorsAttn_Post_45,-0.20940414276027314,0.4198777246229983
LH_DorsAttn_Post_46,-0.017931791508921824,0.9455404622923594
LH_DorsAttn_Post_47,0.32077049681899417,0.20935991066406606
LH_DorsAttn_Post_48,0.15940303136437847,0.5411320078916699
LH_DorsAttn_Post_49,0.22123206172286564,0.3934756246032143
LH_DorsAttn_Post_50,-0.0812574700921974,0.7565407007968664
LH_DorsAttn_FEF_1,0.06614172283881993,0.8008767295506978
LH_DorsAttn_FEF_2,-0.07627708325690652,0.7710765923273143
LH_DorsAttn_FEF_3,-0.10475071577925016,0.689079562836876
LH_DorsAttn_FEF_4,-0.22512761182175597,0.38498205585402656
LH_DorsAttn_FEF_5,-0.26548780313028175,0.30306237659401575
LH_DorsAttn_FEF_6,-0.2985673272509039,0.2444038001147456
LH_DorsAttn_FEF_7,-0.10459745260396036,0.6895131637464513
